"OWNER","SEGMENT_NAME","SEGMENT_TYPE","TABLESPACE_NAME","MB"
"HAL","BIN$Tl3WrCpSLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",980
"HAL","SYS_LOB0000074200C00002$$","LOBSEGMENT","HAL_DATA",280,19
"HAL","BIN$Tlqw+2+LF8ngY1krDAqcsQ==$0","TABLE","HAL_DATA",272
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",272
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",142
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",134
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",127
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",107
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",99
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",81
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",72
"HAL","BIN$Tl3WrCpULXLgY1krDAo1lA==$0","TABLE","HAL_DATA",72
"HAL","BIN$Tl3WrCpTLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",63
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",51
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",48
"HAL","BIN$Tlqw+2+IF8ngY1krDAqcsQ==$0","TABLE","HAL_DATA",40
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",40
"HAL","BIN$Tl3WrCpPLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",40
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",40
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",40
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",40
"HAL","BIN$Tl3WrCpOLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",39
"HAL","BIN$Tlqw+2+HF8ngY1krDAqcsQ==$0","TABLE","HAL_DATA",39
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",33
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",32
"HAL","BIN$Tl3WrCpQLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",30
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",27
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",27
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",26
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",25
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",24
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",24
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",24
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",24
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",24
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",16
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",16
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",16
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",16
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",16
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",16
"HAL","BIN$Tlqw+2+GF8ngY1krDAqcsQ==$0","TABLE","HAL_DATA",11
"HAL","BIN$Tl3WrCpNLXLgY1krDAo1lA==$0","TABLE","HAL_DATA",11
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_ABSTRACTS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
