"OWNER","SEGMENT_NAME","SEGMENT_TYPE","TABLESPACE_NAME","MB"
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_AUTHORS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_COLLECTIONS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_KEYWORDS","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_CODE","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_EN","TABLE PARTITION","HAL_DATA",8
"HAL","ARTICLE_DOMAINS_FR","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","RESEARCH_ARTICLES","TABLE PARTITION","HAL_DATA",8
"HAL","SYS_C007811","INDEX","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","SYS_LOB0000074371C00002$$","LOB PARTITION","HAL_DATA",8
"HAL","BIN$Tl3WrCpWLXLgY1krDAo1lA==$0","INDEX","HAL_DATA",7
"HAL","BIN$Tlqw+2+KF8ngY1krDAqcsQ==$0","INDEX","HAL_DATA",7
"HAL","SYS_LOB0000074174C00003$$","LOBSEGMENT","HAL_DATA",1,19
"HAL","SYS_LOB0000074187C00003$$","LOBSEGMENT","HAL_DATA",1,19
"HAL","SYS_IL0000074200C00002$$","LOBINDEX","HAL_DATA",0,06
"HAL","SYS_IL0000074187C00003$$","LOBINDEX","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
"HAL","SYS_IL0000074174C00003$$","LOBINDEX","HAL_DATA",0,06
"HAL","SYS_IL0000074371C00002$$","INDEX PARTITION","HAL_DATA",0,06
